id	submission_id	user	username	userImageURL	downloadURL	hyperparameter	description	result	last	final	accuracy
16	11746	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0016/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=4679bff7df788b22bc45cc7db13b30d3de927f1fe555b174991c6b346206f1f5"	"{\"training\": {}, \"inference\": {}}"	"말그대로"	"{\"accuracy\": {\"value\": \"79.8000%\", \"rank\": true, \"decs\": true}}"	"2021-04-22T13:55:28.339274+09:00"	true	"79.8000%"
15	11613	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0015/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=ae6248b9225b4ae2ef1a25ecdcb0f65657bc8b8e2257b5f25c9407f9b41b559f"	"{\"training\": {}, \"inference\": {}}"	"3 ensemble"	"{\"accuracy\": {\"value\": \"79.6000%\", \"rank\": true, \"decs\": true}}"	"2021-04-22T11:05:21.461776+09:00"	false	"79.6000%"
17	11758	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0017/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=d07a95133468a304f11d3e07f35b3b6ca354a51d66fe8ac5f939fb22741d60ad"	"{\"training\": {}, \"inference\": {}}"	"1등3개 2등2개 나머지 7개 1개씩"	"{\"accuracy\": {\"value\": \"79.4000%\", \"rank\": true, \"decs\": true}}"	"2021-04-22T14:07:11.704069+09:00"	false	"79.4000%"
18	11960	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0018/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=91f9151ab56c1e13a640dcb40d375f304055c789fe1d15c57b28d875ab50bb14"	"{\"training\": {}, \"inference\": {}}"	"soft voting 3개 마지막!!!!"	"{\"accuracy\": {\"value\": \"79.1000%\", \"rank\": true, \"decs\": true}}"	"2021-04-22T16:39:18.304090+09:00"	false	"79.1000%"
6	10621	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0006/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=f3d6933e5e553f302e8a9de79857a5cea0e4052a42c88439bd945df7dcea6ec7"	"{\"training\": {}, \"inference\": {}}"	"xlm roberta large 10epochs training 100%submission 5 validation accuracy 77.5"	"{\"accuracy\": {\"value\": \"78.7000%\", \"rank\": true, \"decs\": true}}"	"2021-04-21T00:36:06.040397+09:00"	false	"78.7000%"
5	10587	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0005/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=2ad71bfb181d2a63c214c71c94ccc4e7d7ccfe5046c9d148eb705ce817722efd"	"{\"training\": {}, \"inference\": {}}"	"xlm roberta large 10epochs training 80%"	"{\"accuracy\": {\"value\": \"77.8000%\", \"rank\": true, \"decs\": true}}"	"2021-04-20T23:39:04.718004+09:00"	false	"77.8000%"
10	10883	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0010/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=c3142dbaabedc45b595263e61c0d5ea2cda8f93097945a5763f96d2adf5f05d6"	"{\"training\": {}, \"inference\": {}}"	"xlm roberta large 20epochs training 80% val_acc 77.5 warmup"	"{\"accuracy\": {\"value\": \"77.2000%\", \"rank\": true, \"decs\": true}}"	"2021-04-21T12:33:18.733970+09:00"	false	"77.2000%"
8	10747	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0008/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=0450d3f476ef5758deca61efc691bdd3f00e8de382ba397f80b097b1b444cc5c"	"{\"training\": {}, \"inference\": {}}"	"xml roberta large big train 5epochs validation accuracy 98"	"{\"accuracy\": {\"value\": \"77.0000%\", \"rank\": true, \"decs\": true}}"	"2021-04-21T08:10:54.140963+09:00"	false	"77.0000%"
12	11235	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0012/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=7b99e7a124081e17055ffbe79a6f582894d5ffd48a646df79b156fd7eb0638a6"	"{\"training\": {}, \"inference\": {}}"	"tem val_accuracy 75.1"	"{\"accuracy\": {\"value\": \"76.8000%\", \"rank\": true, \"decs\": true}}"	"2021-04-21T21:36:27.149269+09:00"	false	"76.8000%"
13	11338	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0013/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=2df01fa439bbf5111ff80b3be867b9edd146aafbd9886a1bba2346c4210cd2f7"	"{\"training\": {}, \"inference\": {}}"	"xlm roberta large 10epochs training 100% smoothing 0.5"	"{\"accuracy\": {\"value\": \"76.8000%\", \"rank\": true, \"decs\": true}}"	"2021-04-22T00:30:29.546303+09:00"	false	"76.8000%"
11	11163	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0011/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=cd816809d3de09d2e48163298be4c39fdfa4be953dbfd37aff94013ccc99dfaa"	"{\"training\": {}, \"inference\": {}}"	"xrl 10epochs training 80% smoothing 0.5 val_acc 75.6"	"{\"accuracy\": {\"value\": \"75.6000%\", \"rank\": true, \"decs\": true}}"	"2021-04-21T18:32:58.495589+09:00"	false	"75.6000%"
14	11610	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000004/Users/00000124/Submissions/0014/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210423%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210423T012929Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=1df32910349acb103ee8a4612d0dd28df4adc31db544688d5a01b371b1e3a626"	"{\"training\": {}, \"inference\": {}}"	"tem full"	"{\"accuracy\": {\"value\": \"74.5000%\", \"rank\": true, \"decs\": true}}"	"2021-04-22T11:03:24.760924+09:00"	false	"74.5000%"
